CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
247.0,11.65,77.25,0.47,4.87,15.68,Fontana,105
370.5,23.99,30.4,1.74,3.26,3.81,Beaverton,29
263.69,7.8,42.56,0.18,3.01,8.77,Lehigh Acres,36
273.71,10.37,38.98,0.9,6.02,8.23,Saint Joseph,33
453.95,52.78,17.17,2.21,7.73,16.08,Lauderhill,65
253.68,7.45,63.66,1.12,1.43,3.61,Cambridge,64
1281.74,57.58,0.0,3.1,45.85,54.8,Chicago,110
283.72,13.54,21.28,0.45,4.55,5.06,Lafayette,18
313.76,12.51,32.54,0.28,4.48,5.82,Fort Smith,27
1054.76,31.53,0.0,1.16,34.83,42.7,Passaic,88
240.33,5.18,79.39,0.88,3.51,9.6,Port Saint Lucie,110
267.03,20.39,44.35,1.97,3.06,5.37,West Jordan,37
277.04,9.51,43.63,3.49,13.93,14.75,Plano,45
303.75,11.14,23.96,0.33,5.16,7.13,Napa,20
327.11,17.65,37.55,0.12,2.76,3.71,Redding,31
263.69,0.24,87.26,0.03,0.5,0.55,Anchorage,130
263.69,4.41,53.64,1.18,9.2,10.65,Mount Pleasant,45
407.22,37.36,14.31,3.55,17.47,21.37,Brentwood,54
363.83,18.85,28.97,0.95,11.29,12.47,Bryan,36
277.04,9.6,50.07,0.22,4.77,13.04,Hemet,42
353.81,17.14,18.6,0.44,5.0,5.65,Bloomington,21
407.22,18.68,26.11,0.18,4.23,5.05,Grand Rapids,23
360.49,27.42,41.84,1.86,2.46,3.79,Renton,35
363.83,21.42,38.27,1.09,2.43,3.95,Federal Way,32
267.03,7.45,5.01,0.03,1.65,2.69,Asheville,9
574.11,60.32,8.14,5.6,18.38,22.29,Rancho Cordova,75
250.34,10.97,78.68,0.7,4.02,15.2,Rialto,109
494.0,32.56,0.08,1.03,12.5,13.89,Carmel,40
208.62,3.47,79.39,0.05,1.56,2.11,Santa Barbara,110
383.85,25.02,47.21,0.88,9.39,19.28,Temecula,40
660.9,59.63,0.04,4.23,22.15,32.9,San Leandro,74
417.23,17.48,16.81,0.05,6.64,7.71,Rockford,21
